URL,media,is_nyhed,type_article,date,countries
https://www.dr.dk/nyheder/udland/droner-spottet-over-nato-basen-i-letland-det-er-ikke-bare-noget-der-sker-en-gang-i-mellem,DR,1,udland,2025-10-11,"Denmark, Latvia, Russia"
https://www.dr.dk/nyheder/seneste/novo-stopper-forskningsprojekt-og-fyrer-250-medarbejdere,DR,1,seneste,2025-10-11,Denmark
https://www.dr.dk/nyheder/indland/million-donation-til-stenrev-og-aalegraes-i-oestjysk-oehav-og-fjord-der-skal-stadig-styr-paa,DR,1,indland,2025-10-11,Denmark
https://www.bbc.com/news/articles/cgmzmn4971zo,BBC,1,news,2025-10-12,"Afghanistan, Bangladesh, India, Pakistan, Qatar, Saudi Arabia, United Arab Emirates"
https://www.bbc.com/news/articles/cn828kg8rmzo,BBC,1,news,2025-10-12,"China, South Korea"
https://www.bbc.com/news/articles/c0kn6x711y2o,BBC,1,news,2025-10-12,"Canada, China"
https://www.bbc.com/travel/article/20251010-italys-hidden-mountain-museums-in-the-clouds,BBC,0,travel,2025-10-12,"Antarctica, Austria, Canada, Egypt, Germany, Greenland, Iraq, Italy, Japan, Kazakhstan, Namibia, Singapore, Turkey, United Kingdom"
https://www.bbc.com/news/articles/c04q4v64q05o,BBC,1,news,2025-10-12,"Austria, Brazil, China, Germany, Hungary, Netherlands, Romania, United Kingdom"
https://www.bbc.com/news/articles/cx2jwgnwmezo,BBC,1,news,2025-10-12,"China, India, Namibia, Nepal, Pakistan, South Korea, United Kingdom"
https://www.bbc.com/news/articles/cd070pn4g07o,BBC,1,news,2025-10-12,"Cameroon, France, Madagascar"
https://www.bbc.com/news/articles/cy0vzegkqweo,BBC,1,news,2025-10-12,United Kingdom
https://www.bbc.com/news/articles/cg5e5eg86mvo,BBC,1,news,2025-10-12,China
https://www.bbc.com/sport/american-football/live/cy98ywedyv4t,BBC,0,sport,2025-10-12,"Australia, Sweden, United Kingdom"
https://www.bbc.com/news/articles/cwy870p96yjo,BBC,1,news,2025-10-12,"France, Germany, India, Pakistan, Russia, Ukraine, United Kingdom"
https://www.bbc.com/news/articles/cr5q5rp4r64o,BBC,1,news,2025-10-12,NO_COUNTRIES
https://www.bbc.com/future/article/20251010-the-microbes-lurking-in-your-shower-head,BBC,0,future,2025-10-12,"Australia, Bulgaria, China, Iceland, Israel, Netherlands, Switzerland, United Kingdom"
https://www.bbc.com/news/articles/ce808gvp56mo,BBC,1,news,2025-10-12,"China, United States of America"
https://www.bbc.com/news/articles/c8rvzmyyzmpo,BBC,1,news,2025-10-12,"Canada, Japan, South Korea, United Kingdom, United States of America"
https://www.bbc.com/news/articles/cy7p72rj2geo,BBC,1,news,2025-10-12,"Cameroon, Seychelles"
https://www.bbc.com/news/articles/c75q5qng0rgo,BBC,1,news,2025-10-12,"Egypt, France, Israel, Palestine, Qatar, United Kingdom"
https://www.bbc.com/news/articles/c36kldyyx27o,BBC,1,news,2025-10-12,"Cameroon, South Africa, United Kingdom"
https://www.bbc.com/sport/cricket/live/cjdymek14krt,BBC,0,sport,2025-10-12,"Australia, India, United Kingdom"
https://www.bbc.com/sport/football/live/cwyrw42407et,BBC,0,sport,2025-10-12,"Canada, United Kingdom"
https://www.bbc.com/sport/football/articles/c9qnq0y89wqo,BBC,0,sport,2025-10-12,"Belarus, Denmark, Greece, India, Ireland, Qatar, Russia, Saudi Arabia, Slovakia, South Africa, Ukraine"
https://www.bbc.com/sport/tennis/articles/cx2x2d749qwo,BBC,0,sport,2025-10-12,"India, Ireland, Monaco, Saudi Arabia, Slovakia, South Africa"
https://www.bbc.com/news/articles/ce8450380zyo,BBC,1,news,2025-10-12,"Denmark, Japan, United Kingdom"
https://www.bbc.com/news/articles/cp8w6kn2dyzo,BBC,1,news,2025-10-12,"Norway, Spain, United Kingdom"
https://www.bbc.com/news/articles/cly7lwp8pyno,BBC,1,news,2025-10-12,United Kingdom
https://www.bbc.com/news/articles/c3vzglyz35do,BBC,1,news,2025-10-12,"Austria, France, Switzerland"
https://www.bbc.com/news/articles/ce8681j3n07o,BBC,1,news,2025-10-12,NO_COUNTRIES
https://www.bbc.com/culture/article/20250619-the-best-books-of-2025,BBC,0,culture,2025-10-12,"Brazil, Hungary, Ireland, Japan, Lithuania, Namibia, North Korea, South Korea, Spain, Turkey, United Kingdom, United Republic of Tanzania, United States of America"
https://www.bbc.com/culture/article/20251007-the-turbulent-history-of-the-union-jack-flag,BBC,0,culture,2025-10-12,"France, Ireland, Japan, Pakistan, Poland, Turkey, United Kingdom, United States of America"
https://www.dr.dk/nyheder/indland/tv-2-medgiver-ikke-diversitet-nok-i-bachelorette,DR,1,indland,2025-10-12,Denmark
https://www.dr.dk/sporten/danmark-gaar-planken-ud-selvom-graekenland-har-ryggen-mod-muren,DR,0,sporten,2025-10-12,"Belarus, Denmark, Greece"
https://www.dr.dk/nyheder/indland/betjente-fortaeller-om-taskforces-nedsat-med-et-formaal-lukke-sager,DR,1,indland,2025-10-12,Denmark
https://www.dr.dk/sporten/monegaskisk-overraskelse-slaar-faetter-i-stor-finale,DR,0,sporten,2025-10-12,"China, Denmark, France, Monaco"
https://www.dr.dk/det-bedste-fra-dr/saa-du-bumse-kagen-i-bagedysten-derfor-elsker-nogle-se-paa-bumser-der-bliver-presset,DR,0,det-bedste-fra-dr,2025-10-12,Austria
https://www.dr.dk/nyheder/udland/nye-beskyldninger-mod-prins-andrew-kong-charles-har-gjort-alt-hvad-han-kunne,DR,1,udland,2025-10-12,United Kingdom
https://www.dr.dk/nyheder/udland/nord-stream-sagen-puster-til-gammel-konflikt-mellem-polen-og-tyskland,DR,1,udland,2025-10-12,"Denmark, Germany, Italy, Poland, Russia, Sweden, Ukraine"
https://www.dr.dk/sporten/seneste-sport/gauff-tager-stor-sejr-og-takker-landskvinde-opbakningen,DR,0,sporten,2025-10-12,"Austria, Belgium, China, Croatia, Czechia, Denmark, Finland, France, Germany, Indonesia, Israel, Italy, Japan, New Zealand, Norway, Palestine, Poland, Portugal, Republic of Serbia, Russia, Slovenia, South Africa, Spain, Sweden, Taiwan, Thailand, Ukraine, United States of America"
https://www.dr.dk/nyheder/indland/evakuerede-beboere-i-odense-forventes-tilbage-fra-naeste-uge,DR,1,indland,2025-10-12,Denmark
https://www.dr.dk/nyheder/seneste/hovedvej-er-genaabnet-efter-demonstration-mod-faeldning-af-traeer,DR,1,seneste,2025-10-12,"Afghanistan, Austria, Cameroon, Denmark, Germany, India, Israel, Madagascar, New Zealand, Norway, Pakistan, Russia, Sudan, Sweden, Ukraine, United States of America"
https://www.dr.dk/nyheder/udland/billedserie-skuespiller-diane-keatons-er-doed,DR,1,udland,2025-10-12,NO_COUNTRIES
https://www.dr.dk/nyheder/indland/efter-dr-s-afsloeringer-organisationer-kraever-bedre-tilsyn-med-bosteder,DR,1,indland,2025-10-12,NO_COUNTRIES
